"id_cliente_servico";"dia_vencimento";"valor";"plano";"meses_contrato";"qtd_atendimento";"qtd_ordemservico";"cidade";"contrato"
40791;dia 5;169.9;TiLog-Combo-VIP-400-MEGA_DESC20;7.0;1;1;Cocalzinho de Goiás;cancelado
45741;dia 6;169.9;TiLog-BSB-Combo-VIP-400-MEGA_DESC20;6.0;1;0;Brasília;cancelado
53371;dia 6;29.9;Telefonia - Lig Facil Residêncial;8.0;2;1;Águas Lindas de Goiás;cancelado
53622;dia 14;109.9;Ti5-Combo-100-MEGA_DESC10;5.0;2;0;Águas Lindas de Goiás;cancelado
57694;dia 7;29.9;Telefonia - Lig Facil Residêncial;8.0;1;1;Águas Lindas de Goiás;cancelado
64598;dia 5;29.9;Telefonia - Lig Facil Residêncial;8.0;4;1;Águas Lindas de Goiás;cancelado
65737;dia 4;200.0;Tilog - TRANSPORTE-100MB-DEDICADO;7.0;8;0;Santo Antônio do Descoberto;cancelado
66917;dia 7;139.9;Ti5-FIBRA-300-MEGA_DESC20;8.0;4;2;Águas Lindas de Goiás;cancelado
66941;dia 7;29.9;Telefonia - Lig Facil Residêncial;8.0;2;1;Brasília;cancelado
108833;dia 5;169.9;(Migrado - SKILL.NET) 400_MEGA_VAL_DESC20;4.0;1;1;Valparaíso de Goiás;cancelado
114494;dia 5;139.9;(Migrado - SKILL.NET) 350MEGA_BRAZ_DESC20;8.0;5;3;Brasília;cancelado
114660;dia 4;119.9;(Migrado - SKILL.NET) 250_MEGA_BRAZ_DESC20;8.0;8;3;Brasília;cancelado
116420;dia 4;99.9;(Migrado - SKILL.NET) 250_MEGA_BRAZ_DESC20;8.0;2;1;Brasília;cancelado
117124;dia 6;169.9;(Migrado - SKILL.NET) 450_MEGA_BRAZ_DESC20;4.0;2;1;Valparaíso de Goiás;cancelado
117844;dia 6;119.9;(Migrado - SKILL.NET) 250_MEGA_VAL_DESC20;0.0;7;1;Valparaíso de Goiás;cancelado
118297;dia 4;119.9;(Migrado - SKILL.NET) 250_MEGA_VAL_DESC20;4.0;0;0;Valparaíso de Goiás;cancelado
118840;dia 4;169.9;(Migrado - SKILL.NET) 450_MEGA_BRAZ_DESC20;7.0;22;6;Brasília;cancelado
