"cod_servico";"dia_vencimento";"valor";"plano";"meses_contrato";"equipamento";"qtd_atendimento";"qtd_ordemservico";"cod_cidade";"contrato"
40791;5;169.9;446;6.0;"";1;1;948;9
45741;6;169.9;450;6.0;"";1;0;805;9
53371;6;29.9;509;7.0;"";2;1;890;9
53622;14;109.9;430;4.0;"";2;0;890;9
56124;6;19.9;507;7.0;"";1;1;805;11
57694;7;29.9;509;7.0;"";1;1;890;9
64598;5;29.9;509;7.0;"";4;1;890;9
65737;4;200.0;91;6.0;"";8;0;1093;9
66917;7;139.9;527;7.0;"";4;2;890;9
66941;7;29.9;509;7.0;"";2;1;805;9
67504;4;169.9;442;8.0;"{""interface"":""gpon-onu_1\/6\/3:78"",""onu_type"":""F670LV1.1.01\r"",""state"":""working"",""distance"":""1746m"",""ont_rx_power"":-24.59,""rx_signal"":-21.805}";5;1;890;11
108199;4;0.0;660;4.0;"{""interface"":""gpon-onu_1\/1\/7:33"",""onu_type"":""ZTE-F680\r"",""state"":""working"",""distance"":""14818m""}";19;1;805;11
108833;5;169.9;694;3.0;"";1;1;1122;9
114494;5;139.9;695;7.0;"{""onu_type"":""HG260""}";5;3;805;9
114660;4;119.9;655;7.0;"";8;3;805;9
116420;4;99.9;655;8.0;"";2;1;805;9
116424;4;119.9;4141;5.0;"{""onu_type"":""AN5506-SFU""}";10;3;805;11
117124;6;169.9;656;3.0;"";2;1;1122;9
117844;6;119.9;628;0.0;"";7;1;1122;9
118297;4;119.9;628;3.0;"";0;0;1122;9
118840;4;169.9;656;6.0;"";22;6;805;9
118910;5;139.9;4323;3.0;"";47;3;1122;11
119647;5;169.9;696;6.0;"";1;1;1122;9
119986;7;139.9;629;6.0;"";5;1;1122;9
119987;10;139.9;629;8.0;"";11;3;1015;9
120515;5;169.9;696;8.0;"{""interface"":""gpon-onu_1\/4\/10:38"",""onu_type"":""ZTE-F601\r"",""state"":""working"",""distance"":""6306m""}";41;5;1122;14
120961;4;0.0;627;6.0;"";0;0;805;9
121095;7;169.9;656;8.0;"";8;3;805;9
121279;4;169.9;696;7.0;"{""interface"":""gpon-onu_1\/8\/4:66"",""onu_type"":""ZTE-F601\r"",""state"":""working"",""distance"":""9481m""}";8;2;1122;11
121307;5;119.9;628;3.0;"";2;1;1052;9
