"id_cliente_servico";"dia_vencimento";"valor";"plano";"meses_contrato";"qtd_atendimento";"qtd_ordemservico";"cidade";"contrato"
56124;dia 6;19.9;Telefonia - Lig Facil Basic;8.0;1;1;Brasília;servico_habilitado
67504;dia 4;169.9;ALLREDE-DP-400MEGA-FIBRA_DESC20;9.0;5;1;Águas Lindas de Goiás;servico_habilitado
108199;dia 4;0.0;(Migrado - SKILL.NET) 300_MEGA_BRAZ_DESC20;5.0;19;1;Brasília;servico_habilitado
116424;dia 4;119.9;ALL EMPRESAS - (BASIC) - DF;6.0;10;3;Brasília;servico_habilitado
118910;dia 5;139.9;ALLREDE-DP-350MEGA-FIBRA_DESC20;4.0;49;3;Valparaíso de Goiás;servico_habilitado
120515;dia 5;169.9;(Migrado - teste-allrede) ALLREDE-DP-500MEGA-FIBRA-20 DESC;9.0;44;5;Valparaíso de Goiás;servico_habilitado
121279;dia 4;169.9;(Migrado - teste-allrede) ALLREDE-DP-500MEGA-FIBRA-20 DESC;7.0;8;2;Valparaíso de Goiás;servico_habilitado
121620;dia 4;119.9;ALLREDE-DP-E-DF-250MEGA-20DESC;9.0;10;1;Brasília;servico_habilitado
121622;dia 6;139.9;ALLREDE-DP-E-DF-350MEGA-FIBRA-DESC20;8.0;4;1;Brasília;servico_habilitado
121635;dia 7;119.9;ALLREDE-DP-250MEGA-20DESC;8.0;20;5;Valparaíso de Goiás;servico_habilitado
121681;dia 5;139.9;ALLREDE-DP-350MEGA-FIBRA_DESC20;8.0;12;3;Valparaíso de Goiás;servico_habilitado
121828;dia 5;139.9;ALLREDE-DP-350MEGA-FIBRA_DESC20;8.0;16;2;Valparaíso de Goiás;servico_habilitado
121830;dia 5;119.9;ALLREDE-DP-E-DF-250MEGA-20DESC;9.0;17;3;Brasília;servico_habilitado
121831;dia 5;139.9;ALLREDE-DP-350MEGA-FIBRA_DESC20;8.0;21;2;Valparaíso de Goiás;servico_habilitado
121847;dia 5;139.9;ALLREDE-DP-350MEGA-FIBRA_DESC20;8.0;6;2;Padre Bernardo;servico_habilitado
121851;dia 4;139.9;ALLREDE-DP-350MEGA-FIBRA_DESC20;8.0;15;2;Valparaíso de Goiás;servico_habilitado
121861;dia 5;139.9;ALLREDE-DP-350MEGA-FIBRA_DESC20;9.0;18;1;Valparaíso de Goiás;servico_habilitado
121879;dia 4;139.9;ALLREDE-DP-350MEGA-FIBRA_DESC20;9.0;17;1;Valparaíso de Goiás;servico_habilitado
121924;dia 4;139.9;(Migrado - SKILL.NET) 350MEGA_VAL_DESC20;8.0;24;4;Valparaíso de Goiás;servico_habilitado
121927;dia 6;119.9;ALLREDE-DP-E-DF-250MEGA-20DESC;8.0;24;4;Brasília;servico_habilitado
121983;dia 6;139.9;ALLREDE-DP-350MEGA-FIBRA_DESC20;9.0;21;3;Valparaíso de Goiás;servico_habilitado
166066;dia 4;119.9;ALLREDE-DP-E-DF-350MEGA-FIBRA;9.0;9;2;Brasília;servico_habilitado
167819;dia 9;0.0;ALLREDE-DP-E-DF-250MEGA;9.0;2;1;Brasília;servico_habilitado
167976;dia 4;119.9;(Migrado - OBTI) 350MEGA - FTTH - SANTA MARIA;9.0;13;1;Brasília;servico_habilitado
167982;dia 6;119.9;(Migrado - teste-allrede) ALLREDE-DP-350MEGA-FIBRA;9.0;25;2;Cidade Ocidental;servico_habilitado
168006;dia 5;119.9;(Migrado - teste-allrede) ALLREDE-DP-350MEGA-FIBRA;9.0;14;2;Novo Gama;servico_habilitado
168015;dia 4;119.9;ALLREDE-DP-E-DF-350MEGA-FIBRA;9.0;12;1;Brasília;servico_habilitado
168059;dia 6;99.9;ALLREDE-DP-E-DF-250MEGA;9.0;15;1;Brasília;servico_habilitado
168065;dia 6;99.9;(Migrado - teste-allrede) ALLREDE-DP-250MEGA;9.0;3;1;Novo Gama;servico_habilitado
168109;dia 4;99.9;ALLREDE-DP-E-DF-250MEGA;8.0;6;1;Brasília;servico_habilitado
168114;dia 5;119.9;ALLREDE-DP-E-DF-350MEGA-FIBRA;9.0;4;1;Brasília;servico_habilitado
168123;dia 4;99.9;ALLREDE-DP-E-DF-250MEGA;8.0;8;1;Brasília;servico_habilitado
168159;dia 12;0.0;(Migrado - teste-allrede) ALLREDE-DP-250MEGA;9.0;2;1;Novo Gama;servico_habilitado
168161;dia 7;119.9;ALLREDE-DP-E-DF-350MEGA-FIBRA;9.0;25;4;Brasília;servico_habilitado
168404;dia 7;119.9;(Migrado - teste-allrede) ALLREDE-DP-350MEGA-FIBRA;9.0;29;4;Valparaíso de Goiás;servico_habilitado
168485;dia 5;119.9;ALLREDE-DP-250MEGA-20DESC;8.0;5;3;Valparaíso de Goiás;servico_habilitado
168507;dia 4;19.9;Telefonia - Lig Facil Basic;8.0;6;0;Brasília;servico_habilitado
168579;dia 7;119.9;ALLREDE-DP-250MEGA-20DESC;9.0;28;2;Valparaíso de Goiás;servico_habilitado
168739;dia 4;99.9;ALLREDE-DP-E-DF-250MEGA;9.0;3;1;Brasília;servico_habilitado
168775;dia 4;109.9;ALLREDE-DP-100MEGA-FIBRA-10DESC;9.0;7;1;Águas Lindas de Goiás;servico_habilitado
168780;dia 4;139.9;ALLREDE-DP-E-DF-300MEGA-FIBRA_DESC20;9.0;7;1;Brasília;servico_habilitado
168823;dia 93;109.9;ALLREDE-DP-100MEGA-FIBRA-10DESC;9.0;37;3;Águas Lindas de Goiás;servico_habilitado
168836;dia 4;139.9;ALLREDE-DP-350MEGA-FIBRA_DESC20;9.0;5;1;Valparaíso de Goiás;servico_habilitado
168851;dia 4;99.9;(Migrado - teste-allrede) ALLREDE-DP-15MEGA-RADIO;7.0;25;7;Luziânia;servico_habilitado
168853;dia 5;109.9;ALLREDE-DP-100MEGA-FIBRA-10DESC;9.0;3;1;Cocalzinho de Goiás;servico_habilitado
168865;dia 5;139.9;ALLREDE-DP-350MEGA-FIBRA_DESC20;9.0;8;1;Valparaíso de Goiás;servico_habilitado
168869;dia 4;139.9;ALLREDE-DP-E-DF-350MEGA-DESC20;9.0;6;2;Brasília;servico_habilitado
168880;dia 4;119.9;(Migrado - teste-allrede) ALLREDE-DP-350MEGA-FIBRA;9.0;14;3;Novo Gama;servico_habilitado
